sample	fastq	pct_aligned	sample	gene_count	mass	mar	rsq	system
L1210serial_G11_S275	2729677	66.89	135	8223	68.71409	6.054572	0	2
L1210serial_G12_S276	1592898	66.63	143	7862	58.89994	1.506117	0	2
L1210serial_H01_S277	1840727	69.65	8	7477	52.86147	4.688936	0	2
L1210serial_H02_S278	1935457	64.01	16	7500	53.81643	6.482265	0	2
L1210serial_H03_S279	1433103	66.37	40	7740	68.65003	6.881837	0	2
L1210serial_H04_S280	1643262	64.84	48	7747	62.60832	5.434593	0	2
L1210serial_H05_S281	728028	68.26	56	6761	49.24445	2.703281	0	2
L1210serial_H06_S282	1390	47.27	64	282	74.84842	6.093858	0	2
L1210serial_H07_S283	1437135	64.42	104	7721	64.74429	5.686258	0	2
L1210serial_H08_S284	676052	70.94	112	6133	41.59746	2.754289	0	2
L1210serial_H09_S285	1130693	66.09	120	6704	43.13699	3.082742	0	2
L1210serial_H10_S286	700756	72.32	128	7513	73.10917	7.414911	0	2
L1210serial_H11_S287	1690898	71.17	136	6481	44.72631	3.578381	0	2
L1210serial_H12_S288	209109	66.81	144	5024	44.58729	3.315762	0	2
