sample	fastq	pct_aligned	sample	gene_count	mass	mar	rsq	system
L1210trap_F11_S71_comb	1	1	73	7658	0	0	0	1
L1210trap_E11_S59_comb	1	1	74	7603	65.64385744	5.130519955	0.972115015	1
L1210trap_D11_S47_comb	1	1	75	7185	65.42538874	4.628013674	0.983859378	1
L1210trap_C11_S35_comb	1	1	76	6559	51.32377682	4.145119383	0.989779907	1
L1210trap_B11_S23_comb	1	1	77	6	55.71644308	6.393334719	0.989939479	1
L1210trap_H12_S96_comb	1	1	78	492	70.301656	3.718503037	0.982754218	1
L1210trap_G12_S84_comb	1	1	79	6677	49.42540972	3.298688422	0.986220562	1
L1210trap_F12_S72_comb	1	1	80	6406	45.33154723	2.23909439	0.965472765	1
L1210trap_E12_S60_comb	1	1	81	7020	64.33499167	4.343522948	0.990912576	1
L1210trap_D12_S48_comb	1	1	82	6802	48.99844934	2.607987327	0.977988589	1
L1210trap_C12_S36_comb	1	1	83	6623	59.37156344	5.681117939	0.986322903	1
L1210trap_A01_S1_comb	1	1	84	3735	60.39383159	3.256402264	0.989760751	1
L1210trap_A02_S2_comb	1	1	85	96	51.1166748	3.500426685	0.972265764	1
L1210trap_A03_S3_comb	1	1	86	6758	51.11354918	3.7017675	0.960467173	1
L1210trap_A04_S4_comb	1	1	87	7179	64.34947978	5.788540901	0.977390365	1
L1210trap_A05_S5_comb	1	1	88	6500	49.50840095	4.342536841	0.969053559	1
L1210trap_A06_S6_comb	1	1	89	3667	63.7889361	5.223633006	0.985323689	1
L1210trap_A07_S7_comb	1	1	90	3456	56.40187541	5.489113065	0.991106268	1
L1210trap_H01_S181_comb	1	1	91	2594	58.37227041	4.142898161	0.991914883	1
L1210trap_G01_S169_comb	1	1	92	1752	42.4064642	2.580778561	0.82892112	1
L1210trap_F01_S157_comb	1	1	93	5969	36.30618052	2.262291569	0.956308576	1
L1210trap_E01_S145_comb	1	1	94	2319	59.93909081	4.71833219	0.994642077	1
L1210trap_D01_S133_comb	1	1	95	7513	52.59896375	4.498901456	0.993326988	1
L1210trap_C01_S121_comb	1	1	96	6667	37.51863435	1.136969685	0.62830453	1
L1210trap_B01_S109_comb	1	1	97	5436	55.59891265	14.68797432	0.827596472	1
L1210trap_H02_S182_comb	1	1	98	7134	59.78639667	4.959701993	0.994615127	1
L1210trap_G02_S170_comb	1	1	99	320	48.1683664	4.029597502	0.99305338	1
L1210trap_F02_S158_comb	1	1	100	6430	41.0140421	3.348688331	0.977448201	1
L1210trap_E02_S146_comb	1	1	101	4532	66.2218372	4.710600703	0.995762864	1
L1210trap_D02_S134_comb	1	1	102	6559	42.71006502	3.816306809	0.995074365	1
L1210trap_C02_S122_comb	1	1	103	6771	41.36444159	2.269432884	0.960683952	1
L1210trap_B02_S110_comb	1	1	104	6124	34.81996239	2.642901253	0.98009866	1
L1210trap_H03_S183_comb	1	1	105	7235	63.62018795	5.665924482	0.957183118	1
L1210trap_G03_S171_comb	1	1	106	6542	57.84445159	4.576582669	0.991879596	1
L1210trap_F03_S159_comb	1	1	107	5905	48.83216579	3.986291129	0.993879727	1
L1210trap_E03_S147_comb	1	1	108	5591	40.59730986	2.8324769	0.9849291	1
L1210trap_D03_S135_comb	1	1	109	5559	74.75614324	-0.67301465	0.80279684	1
L1210trap_C03_S123_comb	1	1	110	2992	45.11228116	3.19469112	0.988641591	1
L1210trap_B03_S111_comb	1	1	111	5626	46.34109523	3.127878175	0.987403335	1
L1210trap_H04_S184_comb	1	1	112	7453	80.95716796	5.689485685	0.991835469	1
