sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass 	mar	time					
T48hr_H03_S279	3570693	2822460	79.05	0	2167730	60.71	74393	2.08	6162	24	44.27082	3.613141	48					
T48hr_H04_S280	3241715	1857615	57.3	0	1211892	37.38	186412	5.75	4339	32	47.82777	5.09368	48					
T48hr_H05_S281	114157	9993	8.75	0	7025	6.15	792	0.69	1767	40	38.87046	2.817445	48					
T48hr_H06_S282	3251	611	18.79	-0.03	471	14.49	11	0.34	323	48	-9999999	-9999999	48					
T48hr_H07_S283	2105	210	9.98	-0.05	142	6.75	12	0.57	111	56	45.47702	3.976252	48					
T48hr_H08_S284	4064	230	5.66	-0.02	123	3.03	13	0.32	88	64	46.45221	4.656236	48					
T48hr_H09_S285	5262	203	3.86	-0.02	26	0.49	1	0.02	25	72	-9999999	-9999999	48					
T48hr_H10_S286	3644637	2260484	62.02	0	1690522	46.38	32509	0.89	4689	80	29.39291	-0.02246259	48					
T48hr_H11_S287	3043312	2473096	81.26	0	2013835	66.17	20795	0.68	6088	88	65.98362	7.004811	48					
T48hr_H12_S288	2599	256	9.85	-0.04	147	5.66	1	0.04	111	96	35.06742	2.723443	48					
