sample	fastq_frag_count	tophat_genome_mapped	tophat_genome_mapped	star_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	custom_trans_mapped	custom_trans_mapped	rRNA_count	rRNA	gene_count	custom_gene_count	mass	mar	sample	day
FL52_A11_S107	391446	358935	91.69	-1	0	257371	65.75	-1	0	-1	-1	6777	-1	54.40954	5.702942	129	2
FL52_A12_S108	489012	450660	92.16	-1	0	336209	68.75	-1	0	-1	-1	6265	-1	45.64973	2.223824	137	2
FL52_B01_S109	239013	224503	93.93	-1	0	170042	71.14	-1	0	-1	-1	7457	-1	106.0108	6.701841	18	2
FL52_B02_S110	995	562	56.48	-1	-0.1	427	42.91	-1	-0.1	-1	-1	309	-1	60.48454	3.399213	42	2
FL52_B03_S111	365228	338899	92.79	-1	0	254492	69.68	-1	0	-1	-1	6820	-1	68.17577	2.07139	58	2
FL52_B04_S112	364215	338211	92.86	-1	0	262369	72.04	-1	0	-1	-1	7192	-1	67.32162	6.867822	66	2
FL52_B05_S113	900680	852278	94.63	-1	0	676313	75.09	-1	0	-1	-1	8644	-1	146.8604	8.390561	74	2
FL52_B06_S114	319193	299201	93.74	-1	0	235248	73.7	-1	0	-1	-1	6705	-1	62.06781	2.958928	82	2
FL52_B07_S115	302862	282711	93.35	-1	0	206705	68.25	-1	0	-1	-1	6334	-1	38.55015	1.948278	90	2
FL52_B08_S116	181157	168359	92.94	-1	0	131125	72.38	-1	0	-1	-1	6231	-1	55.11685	3.736642	98	2
FL52_B09_S117	121000	112387	92.88	-1	0	83202	68.76	-1	0	-1	-1	5640	-1	38.1178	2.271328	106	2
FL52_B10_S118	322479	297529	92.26	-1	0	233601	72.44	-1	0	-1	-1	6292	-1	42.61301	5.189632	114	2
FL52_B11_S119	148319	136535	92.05	-1	0	100304	67.63	-1	0	-1	-1	5630	-1	44.61421	3.81951	130	2
FL52_B12_S120	995735	928560	93.25	-1	0	736624	73.98	-1	0	-1	-1	7497	-1	66.49093	3.621372	138	2
