sample	fastq_frag_count	tophat_genome_mapped	tophat_genome_mapped	star_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	custom_trans_mapped	custom_trans_mapped	rRNA_count	rRNA	gene_count	custom_gene_count	mass	mar	sample	day
FL51a_C09_S33	164472	132955	80.84	-1	0	81836	49.76	-1	0	1890	1.15	958	-1	45.99435	3.744077	0	1
FL51a_C10_S34	375967	344512	91.63	-1	0	247777	65.9	-1	0	44180	11.75	7633	-1	38.7562	1.3238	0	1
FL51a_C11_S35	678063	625810	92.29	-1	0	478455	70.56	-1	0	50149	7.4	5754	-1	66.12307	5.136409	0	1
FL51a_C12_S36	50188	44477	88.62	-1	0	30045	59.86	-1	0	5003	9.97	4762	-1	45.11057	3.222124	0	1
FL51a_D01_S37	712918	663757	93.1	-1	0	462758	64.91	-1	0	77894	10.93	7597	-1	-999999	-999999	0	1
FL51a_D02_S38	975288	911445	93.45	-1	0	666371	68.33	-1	0	117677	12.07	7685	-1	87.60745	7.693669	0	1
FL51a_D03_S39	455284	420146	92.28	-1	0	286008	62.82	-1	0	40843	8.97	6467	-1	42.64627	2.264397	0	1
FL51a_D04_S40	436997	401668	91.92	-1	0	270673	61.94	-1	0	41326	9.46	6053	-1	39.6447	1.862505	0	1
FL51a_D05_S41	349680	323664	92.56	-1	0	215172	61.53	-1	0	25586	7.32	6299	-1	43.01595	3.132403	0	1
FL51a_D06_S42	290569	258555	88.98	-1	0	187757	64.62	-1	0	21711	7.47	7201	-1	72.43286	3.862792	0	1
FL51a_D07_S43	412218	377279	91.52	-1	0	263279	63.87	-1	0	35234	8.55	6413	-1	37.9834	2.201464	0	1
FL51a_D08_S44	994097	884805	89.01	-1	0	654873	65.88	-1	0	15188	1.53	3722	-1	37.47215	2.599568	0	1
FL51a_D09_S45	1347124	1262417	93.71	-1	0	965173	71.65	-1	0	129113	9.58	6582	-1	74.09242	4.743043	0	1
FL51a_D10_S46	819843	762653	93.02	-1	0	580534	70.81	-1	0	108933	13.29	6459	-1	47.14368	3.597948	0	1
FL51a_D11_S47	482215	449151	93.14	-1	0	325143	67.43	-1	0	45844	9.51	8082	-1	111.904	8.200531	0	1
FL51a_D12_S48	900458	844560	93.79	-1	0	659485	73.24	-1	0	120333	13.36	8026	-1	-999999	-999999	0	1
FL51a_E01_S49	381404	351498	92.16	-1	0	239400	62.77	-1	0	26070	6.84	6618	-1	41.41306	2.262199	0	1
FL51a_E02_S50	582108	536153	92.11	-1	0	386159	66.34	-1	0	59671	10.25	6536	-1	38.25471	2.807036	0	1
FL51a_E03_S51	1274794	1197329	93.92	-1	0	944874	74.12	-1	0	139672	10.96	6816	-1	64.03696	4.173015	0	1
FL51a_E04_S52	772894	618877	80.07	-1	0	422987	54.73	-1	0	79220	10.25	6622	-1	54.26071	3.347585	0	1
FL51a_E05_S53	94880	85079	89.67	-1	0	57612	60.72	-1	0	7394	7.79	5611	-1	46.97783	3.312532	0	1
FL51a_E06_S54	1570950	1445399	92.01	-1	0	1104492	70.31	-1	0	63558	4.05	4662	-1	68.11351	-0.2832987	0	1
FL51a_E07_S55	633215	589828	93.15	-1	0	411029	64.91	-1	0	54403	8.59	8157	-1	-999999	-999999	0	1
FL51a_E08_S56	509449	463493	90.98	-1	0	334422	65.64	-1	0	49377	9.69	6665	-1	44.39188	3.485622	0	1
FL51a_E09_S57	799745	739477	92.46	-1	0	549491	68.71	-1	0	98462	12.31	7373	-1	62.50899	5.179855	0	1
FL51a_E10_S58	627143	579593	92.42	-1	0	440916	70.31	-1	0	89010	14.19	6627	-1	45.9928	2.811708	0	1
FL51a_E11_S59	727753	675012	92.75	-1	0	472918	64.98	-1	0	75904	10.43	7852	-1	109.707	5.080326	0	1
FL51a_E12_S60	762781	703965	92.29	-1	0	521144	68.32	-1	0	76909	10.08	8162	-1	-999999	-999999	0	1
FL51a_F01_S61	457620	423810	92.61	-1	0	299222	65.39	-1	0	38923	8.51	7093	-1	59.53304	4.425438	0	1
FL51a_F02_S62	1132920	1054763	93.1	-1	0	789896	69.72	-1	0	126771	11.19	7167	-1	56.49436	3.805984	0	1
FL51a_F03_S63	1573457	1466953	93.23	-1	0	1145145	72.78	-1	0	34980	2.22	5207	-1	-999999	-999999	0	1
FL51a_F04_S64	993114	929368	93.58	-1	0	690286	69.51	-1	0	88871	8.95	7638	-1	64.8289	3.881046	0	1
FL51a_F05_S65	593684	548499	92.39	-1	0	369196	62.19	-1	0	45425	7.65	7155	-1	-999999	-999999	0	1
FL51a_F06_S66	542462	171613	31.64	-1	0	116998	21.57	-1	0	16675	3.07	5647	-1	36.03935	3.242332	0	1
FL51a_F07_S67	1335260	1256240	94.08	-1	0	894737	67.01	-1	0	99302	7.44	8951	-1	-999999	-999999	0	1
FL51a_F08_S68	1004815	937527	93.3	-1	0	713666	71.02	-1	0	96306	9.58	6798	-1	47.93077	3.740511	0	1
FL51a_F09_S69	1214466	1135777	93.52	-1	0	902923	74.35	-1	0	132193	10.88	6158	-1	52.46005	5.379994	0	1
FL51a_F10_S70	954860	893554	93.58	-1	0	666943	69.85	-1	0	94898	9.94	7606	-1	68.33759	4.880492	0	1
FL51a_F11_S71	730078	679592	93.08	-1	0	471765	64.62	-1	0	59386	8.13	7038	-1	54.00937	3.051532	0	1
FL51a_F12_S72	869004	807541	92.93	-1	0	590859	67.99	-1	0	66563	7.66	6355	-1	38.51629	2.192387	0	1
FL51a_G01_S73	149	94	63.09	-1	-0.67	14	9.4	-1	-0.67	8	5.37	14	-1	43.6855	2.353794	0	1
FL51a_G02_S74	230	138	60	-1	-0.43	14	6.09	-1	-0.43	9	3.91	13	-1	38.14534	2.949821	0	1
FL51a_G03_S75	416	288	69.23	-1	-0.24	46	11.06	-1	-0.24	23	5.53	38	-1	51.51677	4.345575	0	1
FL51a_G04_S76	287	170	59.23	-1	-0.35	16	5.57	-1	-0.35	15	5.23	16	-1	40.89707	2.8504	0	1
FL51a_G05_S77	59	33	55.93	-1	-1.69	3	5.08	-1	-1.69	1	1.69	3	-1	34.44112	0.2636292	0	1
FL51a_G06_S78	545	367	67.34	-1	-0.18	47	8.62	-1	-0.18	11	2.02	41	-1	46.60482	3.728063	0	1
FL51a_G07_S79	263	177	67.3	-1	-0.38	21	7.98	-1	-0.38	8	3.04	21	-1	48.00727	3.961069	0	1
